,filename,season,tod,ebird_code,country,counts
24,XC102968.wav,summer,morning,warvir,United States,100
25,XC102969.wav,summer,morning,warvir,United States,100
27,XC102972.wav,summer,day,bnhcow,United States,100
29,XC104511.wav,summer,morning,daejun,United States,100
30,XC104512.wav,summer,morning,daejun,United States,100
31,XC104514.wav,summer,morning,daejun,United States,100
35,XC104527.wav,summer,day,spotow,United States,100
36,XC104528.wav,summer,day,spotow,United States,100
50,XC108499.wav,summer,morning,indbun,United States,100
51,XC108501.wav,summer,morning,indbun,United States,100
58,XC109028.wav,spring,morning,comgra,United States,100
63,XC109034.wav,spring,morning,norcar,United States,100
64,XC109035.wav,spring,morning,norcar,United States,100
80,XC109299.wav,spring,morning,amegfi,United States,100
81,XC109300.wav,spring,morning,amegfi,United States,100
82,XC109301.wav,spring,morning,amegfi,United States,100
83,XC109305.wav,spring,morning,bkhgro,United States,100
84,XC109306.wav,spring,morning,bkhgro,United States,100
112,XC109606.wav,summer,day,amegfi,United States,100
116,XC109651.wav,fall,morning,annhum,United States,100
126,XC109668.wav,fall,morning,bewwre,United States,100
132,XC109852.wav,fall,morning,annhum,United States,100
133,XC109855.wav,fall,day,daejun,United States,100
138,XC109899.wav,spring,day,comgra,United States,100
139,XC109900.wav,spring,day,rebwoo,United States,100
148,XC109920.wav,spring,morning,astfly,United States,100
149,XC109921.wav,spring,morning,astfly,United States,100
150,XC109922.wav,spring,morning,astfly,United States,100
151,XC109923.wav,spring,morning,astfly,United States,100
189,XC110106.wav,summer,day,marwre,United States,100
201,XC110384.wav,fall,day,whbnut,United States,100
202,XC110813.wav,fall,morning,annhum,United States,100
204,XC110975.wav,fall,day,daejun,United States,100
210,XC111113.wav,fall,morning,gockin,United States,100
216,XC111144.wav,fall,day,gockin,United States,100
238,XC112592.wav,winter,day,rebwoo,United States,100
246,XC112830.wav,winter,morning,norcar,United States,100
256,XC113191.wav,winter,morning,gockin,United States,100
257,XC113372.wav,winter,day,gockin,United States,100
276,XC113795.wav,summer,morning,marwre,United States,100
277,XC113796.wav,summer,morning,marwre,United States,100
